référence;actif;
0-0;0
0/0035;1
0/0040;1
0/0045;1
0/0050;1
0/0055;1
0/0060;1
0/0065;1
0/0070;1
0/0075;1
0/0080;1
0/0085;1
0/0090;1
0/0095;1
0/0100;1
0/0105;1
0/0110;1
0/0115;1
0/0120;1
0/0125;1
0/0130;1
0/0135;1
0/0140;1
0/0145;1
0/0150;1
0/13132;0
0/14;0
0/1400;0
0/1400/0;0
0/1401;0
0/1402;0
0/1404;0
0/1408;0
0/1412;0
0/15001;1
0/15002;1
0/15003;1
0/15005;1
0/15006;1
0/15009;1
0/15010;1
0/15012;1
0/15013;1
0/15015;1
0/15016;1
0/15017;1
0/15018;1
0/15019;1
0/15020;1
0/15023;1
0/15024;1
0/15025;1
0/15026;1
0/15027;1
0/15028;1
0/15029;1
0/15033;1
0/15034;1
0/15036;1
0/15041;1
0/15045;1
0/15047;1
0/15058;1
0/15059;1
0/15062;1
0/15063;1
0/15066;1
0/15069;1
0/15070;1
0/15071;1
0/15072;1
0/15074;1
0/15078;1
0/15080;1
0/15082;1
0/15086;1
0/15087;1
0/15089;1
0/15093;1
0/15103;1
0/15107;1
0/15108;1
0/15109;1
0/15117;1
0/15122;1
0/15124;1
0/15130;1
0/15135;1
0/15137;1
0/15138;1
0/15139;1
0/15143;1
0/15147;1
0/15149;1
0/15150;1
0/15156;1
0/15162;1
0/15164;1
0/15165;1
0/15166;1
0/15167;1
0/15170;1
0/15175;1
0/15176;1
0/15181;1
0/15182;1
0/15186;1
0/15187;1
0/15191;1
0/15195;0
0/15202;0
0/15203;0
0/15205;0
0/15206;0
0/15207;0
0/15210;0
0/15212;0
0/15214;0
0/15216;0
0/15217;0
0/15220;0
0/15223;0
0/15226;1
0/15235;0
0/15238;0
0/15264;0
0/15273;0
0/15310;0
0/15405;0
0/15406;0
0/15414;0
0/15516;0
0/15538;0
0/15638;0
0/15659;0
0/15710;0
0/16003;0
0/16010;0
0/16012;0
0/16015;0
0/16018;0
0/16023;0
0/16024;0
0/16047;0
0/16071;0
0/16086;0
0/16214;0
0/16659;0
0/31;0
0/3104;0
0/3107;0
0/3109;0
0/3110;0
0/32;0
0/32152;0
0/32404;0
0/3500/1226;0
0/35001;1
0/35002;1
0/35003;1
0/35005;1
0/35006;1
0/35009;1
0/35010;1
0/35012;1
0/35013;1
0/35015;1
0/35016;1
0/35017;1
0/35018;1
0/35019;1
0/35020;1
0/35023;1
0/35024;1
0/35025;1
0/35026;1
0/35027;1
0/35028;1
0/35029;1
0/35033;1
0/35036;1
0/35041;1
0/35045;1
0/35058;1
0/35059;1
0/35062;1
0/35063;1
0/35066;1
0/35069;1
0/35070;1
0/35072;1
0/35074;1
0/35077;1
0/35078;1
0/35082;1
0/35085;1
0/35086;1
0/35087;1
0/35089;1
0/35093;1
0/35103;1
0/35107;1
0/35108;1
0/35110;1
0/35117;1
0/35122;1
0/35124;1
0/35135;1
0/35137;1
0/35138;1
0/35139;1
0/35143;1
0/35149;1
0/35156;1
0/35162;1
0/35164;1
0/35165;1
0/35166;1
0/35167;1
0/35169;1
0/35175;1
0/35186;1
0/35187;1
0/35191;1
0/35196;1
0/35202;1
0/35205;1
0/35206;1
0/35207;1
0/35210;1
0/35212;0
0/35214;1
0/35215;0
0/35216;1
0/35217;0
0/35220;0
0/35223;0
0/35225;0
0/35226;1
0/35235;0
0/35238;0
0/35256;0
0/35264;0
0/35273;0
0/35310;0
0/35405;0
0/35414;0
0/35516;0
0/35538;0
0/35638;0
0/35659;0
0/35710;0
0/40;0
00/2700;0
00/6065;0
00/6095;0
00/6125;0
00/6175;0
00/6225;0
0000-6000;0
00000-0030;0
00000-0051;0
00000-0070;0
00000-0106;0
00000-0108;0
00000-0121;0
00000-0170;0
00000-0200;0
00000-0230;0
00000-023T;0
00000-0240;0
00000-0300;0
00000-0310;0
00000-0342;0
00000-0350;0
00000-0360;0
00000-0370;0
00000-0380;0
00000-0410;0
00000-0415;0
00000-0420;0
00000-0450;0
00000-0460;0
00000-0470;0
00000-0480;0
00000-0500;0
00000-0520;0
00000-0530;0
00000-0550;0
00000-0590;0
00000-0620;0
00000-0670T;0
00000-0700;0
00000-0720;0
00000-0860;0
00000-0880;0
00000-0910;0
00000-0940;0
00000-0950;0
00000-0952;0
00000-0990;0
00000-1000;0
00000-1036;0
00000-1038;0
00000-1050;0
00000-1070;0
00000-1120;0
00000-112T;0
00000-1130;0
00000-113T;0
00000-1140;0
00000-1151;0
00000-1153;0
00000-1161;1
00000-1162;0
00000-1163;0
00000-1170;0
00000-1191;0
00000-1200;0
00000-1205;0
00000-1214;0
00000-1215;0
00000-1216;0
00000-1217;0
00000-1230;0
00000-1240;0
00000-1320;0
00000-1370;0
00000-1410;0
00000-1441;0
00000-144T;0
00000-1450;0
00000-1460;0
00000-1510;0
00000-1511;0
00000-1512;0
00000-1513;0
00000-1640;0
00000-1660;0
00000-1670;0
00000-1680;0
00000-1690;0
00000-1730;0
00000-1740;0
00000-1770;0
00000-1820;0
00000-1890;0
00000-1930;0
00000-1960;0
00000-1973;0
00000-2080;0
00000-2180;0
00000-2181;0
00000-2191;0
00000-2210;0
00000-2220;0
00000-2226;0
00000-2227;0
00000-2230;0
00000-2250;0
00000-2326;0
00000-2340;0
00000-2380;0
00000-2470;0
00000-3030;0
00000-3040;0
00000-3105;0
00000-3110;0
00000-3130;0
00000-3200;0
00000-3220;0
00000-3230;0
00000-3250;0
00000-3285;0
00000-3375;0
00000-3385;0
00000-3395;0
00000-3413;0
00000-3419;0
00000-3480;0
00000-3610;0
00000-3620;0
00000-3750;0
00000-3770;0
00000-4220;0
00000-4410;0
00000-441T;0
00000-4680;0
00000-4730;0
00000-4870;0
00000-4887;0
00000-4890;0
00000-5010;0
00000-5011;0
00000-5070;0
00000-5080;0
00000-5470;0
00000-5480;0
00000-581T;0
00000-582T;0
00000-585T;0
00000-588T;0
00000-594T;0
00000-595T;0
00000-6170;0
00000-645T;0
00000-648T;0
00000-7631;0
00000-7632;0
00000-7870;0
00000-8000;0
00000-8020;0
00000-8080;0
00000-8110;0
00000-8130;0
00000-8160;0
00000-8190;0
00000-A010;0
